开课状态,课程名称,学分,考核方式,课程性质,任课教师,选课课号,起止周,开课学院,<td>上课时间</td>,<td>上课地点</td>,<td>合班信息</td>
已开,光电技术实验3,1,考查,实践必修,蔡本晓/漏琦伟,(2019-2020-2)-S0716283-40133-1,7月14日,理学院,"<td title=""周二第6.7节{第7-14周};周二第8.9节{第7-14周}"">周二第6.7节{第7-14周};周二第8...</td>","<td title=""第6教研楼南302B;第6教研楼南302B"">第6教研楼南302B;第6教研楼南302...</td>",<td>18070111</td>
已开,数字逻辑电路,3,学院组织,学科必修,赵鹏,(2019-2020-2)-A0402900-41703-1,1月16日,电子信息学院（微电子学院）,<td>周一第10.11.12节{第1-16周}</td>,<td>第7教研楼中3011</td>,<td>19040319.19040320</td>
已开,大学物理1,3,学院组织,通识必修,袁求理,(2019-2020-2)-A070349C-04136-1,1月16日,理学院,<td>周一第3.4.5节{第1-16周}</td>,<td>第6教研楼中429</td>,"<td title=""19170301.19172301.19173901"">19170301.19172301.19...</td>"
已开,高等代数2,3,学院组织,学科必修,章春国/冯亭亭,(2019-2020-2)-A0711082-04024-1,1月12日,理学院,"<td title=""周二第1.2节{第1-12周};周四第1.2节{第1-12周}"">周二第1.2节{第1-12周};周四第1...</td>",<td>第6教研楼北420;第6教研楼北420</td>,<td>19070611</td>
已开,高等数学B2,5,学校组织,通识必修,金波,(2019-2020-2)-A0714212-41783-1,1月16日,理学院,"<td title=""周一第6.7节{第1-16周};周一第8节{第1-16周};周三第1.2节{第1-16周}"">周一第6.7节{第1-16周};周一第8...</td>","<td title=""第7教研楼中3011;第7教研楼中3011;第6教研楼北218"">第7教研楼中3011;第7教研楼中301...</td>",<td>19010617.19030415</td>
已开,大学英语听说2B,1,学校组织,通识必修,裴娟,(2019-2020-2)-A1101192-40524-3,1月8日,外国语学院,<td>周五第3.4节{第1-8周}</td>,<td>第3教研楼424</td>,"<td title=""19050511.19050512.19050513.19050514.19050515.19050516.19050517.19050518.19050519.19050520.19050521.19050522.19140111.19140112.19148311.19148312.19148313.19148314.19148315"">19050511.19050512.19...</td>"
已开,设计程序与方法,3,考查,专业必修,邱海涛,(2019-2020-2)-A1500770-41757-1,1月8日,人文艺术与数字媒体学院、法学院,"<td title=""周二第6.7节{第1-8周};周二第8节{第1-8周};周四第3.4.5节{第1-8周}"">周二第6.7节{第1-8周};周二第8节...</td>","<td title=""第12教研楼505;第12教研楼505;第12教研楼505"">第12教研楼505;第12教研楼505;...</td>",<td>18221111</td>
已开,经济法,3,学校组织,学科必修,高放,(2019-2020-2)-A2207220-41750-2,1月16日,经济学院,<td>周一第10.11.12节{第1-16周}</td>,<td>第7教研楼中3012</td>,<td>19148313.19148314</td>
已开,离散数学(乙),3,学校组织,学科必修,王震,(2019-2020-2)-A2700300-41923-1,1月16日,网络空间安全学院（浙江保密学院）,<td>周三第3.4.5节{第1-16周}</td>,<td>第6教研楼北114</td>,<td>19270301.19270302</td>
已开,大学生职业发展与就业指导2,0.5,考查,通识必修,刘媛,(2019-2020-2)-A8400012-41280-1,3月12日,党委学生工作部、人民武装部—招生就业处（创业学院）,<td>周三第6.7节{第4-12周|双周}</td>,<td>第6教研楼北210</td>,"<td title=""18050411.18052311.18052312.18052314"">18050411.18052311.18...</td>"
已开,物流系统仿真,2,考查,专业选修,毛薇,(2019-2020-2)-B0305850-40887-1,1月16日,管理学院,<td>周四第3.4节{第1-16周}</td>,<td>第7教研楼北414</td>,<td>17031311.17031312</td>
已开,网络编程,3,考查,专业选修,吴永胜,(2019-2020-2)-B0500170-41588-2,1月16日,计算机学院（软件学院）,<td>周五第3.4.5节{第1-16周}</td>,<td>第6教研楼中201</td>,"<td title=""17052315.17052316.17052317.17052318.17058911"">17052315.17052316.17...</td>"
已开,Linux系统及应用,3,考查,专业选修,周旭,(2019-2020-2)-B0505130-06018-4,1月16日,计算机学院（软件学院）,<td>周四第3.4.5节{第1-16周}</td>,<td>第3教研楼305</td>,"<td title=""18184111.18184112.18184411"">18184111.18184112.18...</td>"
已开,中国古代文学2,2,学院组织,专业选修,赫广霖,(2019-2020-2)-B1204342-40372-1,1月16日,人文艺术与数字媒体学院、法学院,<td>周一第6.7节{第1-16周}</td>,<td>第12教研楼110</td>,<td>18124111</td>
已开,电信法律法规,1,考查,专业选修,刘庆,(2019-2020-2)-C1200740-42001-2,1月16日,人文艺术与数字媒体学院、法学院,<td>周四第6.7节{第2-16周|双周}</td>,<td>第7教研楼北320</td>,<td>17083411</td>
已开,产品开发与管理,2,考查,专业选修,何星池,(2019-2020-2)-C1500390-41928-1,9月16日,人文艺术与数字媒体学院、法学院,"<td title=""周五第6.7节{第9-16周};周五第8.9节{第9-16周}"">周五第6.7节{第9-16周};周五第8...</td>",<td>第12教研楼510;第12教研楼510</td>,<td>17221111</td>
已开,专业英语,2,考查,专业选修,王彦刈,(2019-2020-2)-C190080s-41326-1,1月16日,自动化学院（人工智能学院）,<td>周四第6.7节{第1-16周}</td>,<td>第7教研楼南115</td>,<td>17194811</td>
已开,环境综合实验,1,考查,实践必修,陆娴婷/周溶冰/张素玲/杜佳/王卉,(2019-2020-2)-S2005820-40086-2,6月10日,材料与环境工程学院,"<td title=""周五第1.2节{第6-10周};周五第3.4节{第6-10周};周五第6.7节{第6-10周};周五第8.9节{第6-10周}"">周五第1.2节{第6-10周};周五第3...</td>","<td title=""第6教研楼南102;第6教研楼南102;第6教研楼南102;第6教研楼南102"">第6教研楼南102;第6教研楼南102;...</td>",<td>17200312</td>
已开,第二外语：法语,4,考查,文明对话与国际视野,刘千千,(2019-2020-2)-C1192016-41836-1,1月16日,外国语学院,"<td title=""周一第3.4节{第1-16周};周四第3.4节{第1-16周}"">周一第3.4节{第1-16周};周四第3...</td>",<td>第3教研楼422;第3教研楼422</td>,<td>&nbsp;</td>
已开,中国古代神话,2,考查,人文经典与人文修养,黄俊业,(2019-2020-2)-C1292014-40025-3,1月16日,人文艺术与数字媒体学院、法学院,<td>周二第10.11节{第1-16周}</td>,<td>第3教研楼101</td>,<td>&nbsp;</td>
已开,德意志文化巡礼,2,考查,文明对话与国际视野,洪迎迎,(2019-2020-2)-C1192015-41714-2,1月16日,外国语学院,<td>周二第8.9节{第1-16周}</td>,<td>第6教研楼中107</td>,<td>&nbsp;</td>
已开,绿色生活与未来,2,考查,科技发展与科学精神,赵淑敏/潘新潮,(2019-2020-2)-C2092004-41100-2,1月16日,材料与环境工程学院,<td>周四第10.11节{第1-16周}</td>,<td>第6教研楼北412</td>,<td>&nbsp;</td>
