已开,大学英语听说2B,1,学校组织,通识必修,贾连庆,(2019-2020-2)-A1101192-40748-9,1~8,周五第1 2节{第1-8周},第7教研楼南311,外国语学院,"""19010611 19010612 19010613 19010614 19010615 19010616 19010617 19123811 19124011 19124012 19124111 19220211 19221911 19222511 19222512 19280711 19280712 19280811"""
已开,工程力学,3,学院组织,学科必修,陈建军,(2019-2020-2)-A2003711-01064-1,1~16,周五第3 4 5节{第1-16周},第7教研楼北508,材料与环境工程学院,18200311
已开,国际商务函电,3,考查,专业必修,韩沈超,(2019-2020-2)-A220514G-42139-1,1~16,周一第3 4 5节{第1-16周},第12教研楼403,经济学院,17170401
已开,中国近现代史纲要,3,学院组织,通识必修,孙玉敏,(2019-2020-2)-A2301150-40430-1,1~16,周三第1 2节{第1-16周},第7教研楼北116,马克思主义学院,19030411 19030412
已开,公司理论,2,学院组织,专业选修,禹献云,(2019-2020-2)-B0301460-41538-1,1~16,周三第3 4节{第1-16周},第7教研楼北216,管理学院,17031511
已开,MATLAB及在电子信息课程中的应用,2,学院组织,专业选修,郑晓隆,(2019-2020-2)-B0405020-40985-1,1~16,周一第1 2节{第1-16周},第3教研楼101,电子信息学院（微电子学院）,"""17041823 17041824 17041825"""
已开,数据结构,2,考查,专业选修,徐翀,(2019-2020-2)-B0518890-06062-1,1~16,周四第8 9节{第1-16周},第7教研楼南215,计算机学院（软件学院）,19184212
已开,信息隐藏技术,2,学院组织,专业选修,王慧,(2019-2020-2)-B270501s-41764-1,1~16,周五第1 2节{第1-16周},第3教研楼401,网络空间安全学院（浙江保密学院）,"""17272411 17272412 17272413"""
已开,保密科技,2,学院组织,专业选修,高梦州,(2019-2020-2)-B2705300-42109-1,1~16,周二第8 9节{第1-16周},第7教研楼北414,网络空间安全学院（浙江保密学院）,"""17273611 17273612 17273613 17273614"""
已开,创新综合实践,2,考查,实践必修,秦飞巍,(2019-2020-2)-S0500790-41577-1,1~16,周四第8 9节{第1-16周},&nbsp;,计算机学院（软件学院）,"""17052311 17052312 17052313 17052314 17052315 17052316 17052317 17052318 17052711 17052712 17052713 17058911 17059611 17059612"""
已开,计算机组成原理课程设计（甲）,2,考查,实践必修,冯建文,(2019-2020-2)-S0504400-06030-1,1~16,"""周二第6 7节{第1-16周};周二第8节{第1-16周}""",第6教研楼中307;第6教研楼中307,计算机学院（软件学院）,18052315
已开,大学物理实验A1,1,学院组织,实践必修,待定1,(2019-2020-2)-S0718051-ls702-41,2~16,"""周四第6 7节{第2-16周};周四第8节{第2-16周}""",大学物理实验中心J;大学物理实验中心J,理学院,19208812
已开,大学物理实验A1,1,学院组织,实践必修,待定1,(2019-2020-2)-S0718051-ls702-45,2~16,"""周五第6 7节{第2-16周};周五第8节{第2-16周}""",大学物理实验中心;大学物理实验中心,理学院,19080317
已开,时间序列分析课程设计,2,考查,实践选修,周慧,(2019-2020-2)-S2201390-41360-1,9~16,"""周二第1 2节{第9-16周};周三第3 4节{第9-16周}""",第6教研楼北214;第3教研楼415,经济学院,17150711
已开,热工基础(乙),2,学校组织,学科必修,张志霄,(2019-2020-2)-A0106730-40140-1,1~16,周四第3 4节{第1-16周},第6教研楼北206,机械工程学院,18010511
已开,现代经济管理基础,2,考查,通识必修,曾家焱,(2019-2020-2)-A0304560-41527-1,1~16,周一第1 2节{第1-16周},第6教研楼北410,管理学院,19184112 19184113
已开,电子技术基础,3,学院组织,学科必修,秦华伟,(2019-2020-2)-A0400730-40300-1,1~16,"""周一第6 7节{第1-16周};周一第8节{第1-16周}""",第6教研楼北318;第6教研楼北318,电子信息学院（微电子学院）,18010111 18010112
已开,人工智能导论,3,学院组织,学科必修,高发荣/张启忠,(2019-2020-2)-A0600770-41099-1,1~16,"""周五第6 7节{第1-16周};周五第8节{第1-16周}""",第7教研楼北310;第7教研楼北310,自动化学院（人工智能学院）,18063111
已开,微机原理与接口技术,4,学院组织,专业必修,刘炳涛/周晓飞,(2019-2020-2)-A0601660-41865-1,1~16,"""周二第6 7节{第1-16周};周四第6 7节{第1-16周}""",第6教研楼北112;第6教研楼北320,自动化学院（人工智能学院）,18062815
已开,离散数学,2,学院组织,专业必修,熊瑜,(2019-2020-2)-A0713320-40661-1,1~16,周一第1 2节{第1-16周},第6教研楼中327,理学院,18073111 18073112
已开,概率论与数理统计,3,学校组织,通识必修,张静远,(2019-2020-2)-A0714040-04161-1,1~16,"""周五第6 7节{第1-16周};周五第8节{第1-16周}""",第6教研楼北404;第6教研楼北404,理学院,18052321 18059611
已开,电路分析,4,学校组织,学科必修,简志华,(2019-2020-2)-A0800520-40873-1,1~16,"""周二第6 7节{第1-16周};周五第3 4节{第1-16周}""",第7教研楼北110;第7教研楼北110,通信工程学院,19080315
已开,电路分析,4,学校组织,学科必修,乔磊,(2019-2020-2)-A0800520-42173-1,1~16,"""周二第6 7节{第1-16周};周五第3 4节{第1-16周}""",第6教研楼北222;第6教研楼中307,通信工程学院,19080316
已开,大学英语精读2B,2,学校组织,通识必修,张培青,(2019-2020-2)-A1101142-41686-4,1~16,周四第3 4节{第1-16周},第7教研楼南403,外国语学院,"""19151211 19151212 19151213 19151214 19151215 19151216 19151217 19151218 19200311 19200312 19208811 19208812 19208813 19270301 19270302 19272401 19272402 19273601 19273602"""
已开,大学英语精读2B,2,学校组织,通识必修,俞曦霞,(2019-2020-2)-A1101142-41802-4,1~16,周三第3 4节{第1-16周},第7教研楼南119,外国语学院,"""19010611 19010612 19010613 19010614 19010615 19010616 19010617 19123811 19124011 19124012 19124111 19220211 19221911 19222511 19222512 19280711 19280712 19280811"""
已开,汉语2(中级),6,学院组织,通识必修,李学颖,(2019-2020-2)-A110171G-40745-1,1~16,"""周二第6 7节{第1-16周};周二第8节{第1-16周};周五第3 4 5节{第1-16周}""","""第7教研楼北504;第7教研楼北504;第6教研楼北204""",外国语学院,19171101
已开,英语口语2,2,考查,学科必修,Farris Hodo,(2019-2020-2)-A1102542-lw103-1,1~16,周二第1 2节{第1-16周},第6教研楼中305,外国语学院,19113711 19174801
已开,系列化包装设计,4,考查,专业必修,孙茜,(2019-2020-2)-A1505100-40325-1,9~16,"""周二第6 7节{第9-16周};周二第8 9节{第9-16周};周五第1 2节{第9-16周};周五第3 4节{第9-16周}""","""第12教研楼510;第12教研楼510;第12教研楼508;第12教研楼508""",人文艺术与数字媒体学院、法学院,19220111
已开,社会调查方法,2,学院组织,学科必修,刘干,(2019-2020-2)-A2204090-03046-1,1~16,周五第6 7节{第1-16周},第6教研楼中307,经济学院,18150711
已开,毛泽东思想和中国特色社会主义理论体系概论2,2,学院组织,通识必修,王双,(2019-2020-2)-A2301172-42029-6,1~16,周三第1 2节{第1-16周},第7教研楼北418,马克思主义学院,"""18041819 18041820 18041911"""
已开,流程分析与优化,2,考查,专业选修,阮渊鹏,(2019-2020-2)-B0300970-41502-1,1~16,周一第6 7节{第1-16周},第7教研楼北110,管理学院,17036811
已开,网络营销,2,考查,专业选修,柳春锋,(2019-2020-2)-B0301190-41382-1,1~16,周四第8 9节{第1-16周},第3教研楼305,管理学院,"""17031211 17031511 17171101 17172101"""
已开,管理信息系统,2,考查,专业选修,柳毅,(2019-2020-2)-B0305200-40649-1,1~16,周四第8 9节{第1-16周},第3教研楼301,管理学院,"""17010111 17010112 17010113"""
已开,数据通信与计算机网络,2,学院组织,专业选修,张品,(2019-2020-2)-B080234s-40250-1,1~16,周五第1 2节{第1-16周},第3教研楼215,通信工程学院,17083413 17083414
已开,艺术社会学,2,考查,专业选修,徐燕杭,(2019-2020-2)-B1203720-04173-1,1~16,周一第1 2节{第1-16周},第6教研楼中321,人文艺术与数字媒体学院、法学院,17123811
